,0
0,20.86127452850342
1,20.96866149902344
2,20.976747131347658
3,20.967959213256837
4,20.931672668457033
5,20.814587211608888
6,20.419335174560548
7,20.571904754638673
8,20.122177505493166
9,20.19324188232422
10,28.502465043242253
11,50.92114848904417
12,66.41264030017093
13,85.0754202215541
14,76.75525574955718
15,53.041748368127266
16,20.666167259216312
17,20.678273010253907
18,20.619927215576173
19,20.389451980590824
20,20.082181930541996
21,19.60910568237305
22,19.58106098175049
23,20.927130508422852
