,0
0,447.02731132507324
1,449.3284606933594
2,449.50172424316406
3,449.3134117126465
4,448.5358428955078
5,446.02686882019043
6,437.5571823120117
7,440.82653045654297
8,431.1895179748535
9,432.7123260498047
10,434.89871978759766
11,434.8794364929199
12,438.52526664733887
13,438.39709281921387
14,440.42919158935547
15,441.6372299194336
16,442.8464412689209
17,443.10585021972656
18,441.85558319091797
19,436.9168281555176
20,430.33246994018555
21,420.1951217651367
22,419.5941638946533
23,448.4385108947754
