Ep    1/5000 | Reward=-2631.72 | EpBest=  4896.3万 | GlobalBest=  4896.3万 | LPSP= 1.26% | LREG=13.64% | Imp= 6 | MILP=100 | ALoss=-0.1181 CLoss=103157.8195 | LR=1.0e-04 | Time=69s
Ep    2/5000 | Reward= -520.50 | EpBest=  2671.5万 | GlobalBest=  2671.5万 | LPSP= 0.00% | LREG= 0.65% | Imp= 9 | MILP=100 | ALoss=-0.0908 CLoss=5578.8490 | LR=1.0e-04 | Time=124s
Ep    3/5000 | Reward=-7663.13 | EpBest=  4479.1万 | GlobalBest=  2671.5万 | LPSP= 1.87% | LREG= 8.77% | Imp= 8 | MILP=100 | ALoss=-0.0978 CLoss=1521459.6500 | LR=1.0e-04 | Time=178s
Ep    4/5000 | Reward=-5166.53 | EpBest=  2731.5万 | GlobalBest=  2671.5万 | LPSP= 0.00% | LREG= 5.58% | Imp= 8 | MILP=100 | ALoss=-0.0974 CLoss=891544.2250 | LR=1.0e-04 | Time=300s
Ep    5/5000 | Reward=-2064.68 | EpBest=  3369.3万 | GlobalBest=  2671.5万 | LPSP= 0.00% | LREG= 1.53% | Imp= 3 | MILP=100 | ALoss=-0.0871 CLoss=135241.3016 | LR=1.0e-04 | Time=375s
Ep    6/5000 | Reward=-2616.57 | EpBest=  3348.3万 | GlobalBest=  2671.5万 | LPSP= 0.76% | LREG= 2.76% | Imp= 5 | MILP=100 | ALoss=-0.0860 CLoss=260050.9781 | LR=1.0e-04 | Time=448s
Ep    7/5000 | Reward=-1362.72 | EpBest=  2795.4万 | GlobalBest=  2671.5万 | LPSP= 0.00% | LREG= 5.73% | Imp= 6 | MILP=100 | ALoss=-0.0999 CLoss=64290.1965 | LR=1.0e-04 | Time=523s
Ep    8/5000 | Reward=-1078.57 | EpBest=  3408.8万 | GlobalBest=  2671.5万 | LPSP= 0.00% | LREG= 6.47% | Imp=22 | MILP=100 | ALoss=-0.1033 CLoss=30349.1246 | LR=1.0e-04 | Time=584s
Ep    9/5000 | Reward= -471.01 | EpBest=  2740.6万 | GlobalBest=  2671.5万 | LPSP= 0.00% | LREG= 2.98% | Imp=12 | MILP=100 | ALoss=-0.1031 CLoss=4291.8877 | LR=1.0e-04 | Time=651s
Ep   10/5000 | Reward= -607.07 | EpBest=  2956.2万 | GlobalBest=  2671.5万 | LPSP= 0.00% | LREG= 0.82% | Imp= 6 | MILP=100 | ALoss=-0.1043 CLoss=7299.0437 | LR=1.0e-04 | Time=731s
Ep   11/5000 | Reward= -462.28 | EpBest=  2922.8万 | GlobalBest=  2671.5万 | LPSP= 0.00% | LREG= 3.13% | Imp= 9 | MILP=100 | ALoss=-0.1103 CLoss=3597.1993 | LR=1.0e-04 | Time=806s
Ep   12/5000 | Reward=-3630.39 | EpBest=  3631.9万 | GlobalBest=  2671.5万 | LPSP= 0.64% | LREG= 2.70% | Imp= 8 | MILP=100 | ALoss=-0.0576 CLoss=266352.5906 | LR=1.0e-04 | Time=913s
Ep   13/5000 | Reward= -340.94 | EpBest=  2924.1万 | GlobalBest=  2671.5万 | LPSP= 0.00% | LREG= 1.21% | Imp= 5 | MILP=100 | ALoss=-0.0849 CLoss=1559.6719 | LR=1.0e-04 | Time=973s
Ep   14/5000 | Reward=-1969.39 | EpBest=  3056.0万 | GlobalBest=  2671.5万 | LPSP= 0.00% | LREG= 2.75% | Imp=11 | MILP=100 | ALoss=-0.1005 CLoss=135722.2125 | LR=1.0e-04 | Time=1068s
Ep    1/1500 | Reward=-1811.37 | EpBest= 30434.9万 | GlobalBest=     inf万 | LPSP=25.89% | LREG=15.77% | Imp= 0 | MILP= 15 | ALoss=-0.1634 CLoss=482260.7500 | LR=1.0e-04 | Time=8s
Ep    2/1500 | Reward= -135.87 | EpBest=  4826.8万 | GlobalBest=  4826.8万 | LPSP= 2.12% | LREG= 9.98% | Imp= 2 | MILP= 18 | ALoss=-0.1003 CLoss=3425.2150 | LR=1.0e-04 | Time=16s
Ep    3/1500 | Reward= -976.68 | EpBest=  5728.6万 | GlobalBest=  4826.8万 | LPSP= 3.12% | LREG= 4.62% | Imp= 3 | MILP= 26 | ALoss=-0.1043 CLoss=81609.5063 | LR=1.0e-04 | Time=31s
Ep    4/1500 | Reward= -192.78 | EpBest=  4853.8万 | GlobalBest=  4826.8万 | LPSP= 1.14% | LREG=23.15% | Imp= 0 | MILP= 15 | ALoss=-0.1194 CLoss=9144.4245 | LR=1.0e-04 | Time=40s
Ep    5/1500 | Reward= -195.73 | EpBest=  3514.8万 | GlobalBest=  3514.8万 | LPSP= 0.12% | LREG= 7.28% | Imp= 3 | MILP= 35 | ALoss=-0.0978 CLoss=4097.5294 | LR=1.0e-04 | Time=60s
Ep    6/1500 | Reward= -231.85 | EpBest=  4945.7万 | GlobalBest=  3514.8万 | LPSP= 2.41% | LREG= 0.91% | Imp= 1 | MILP= 17 | ALoss=-0.0955 CLoss=11797.8440 | LR=1.0e-04 | Time=80s
Ep    7/1500 | Reward= -156.12 | EpBest=  3263.3万 | GlobalBest=  3263.3万 | LPSP= 0.00% | LREG= 1.58% | Imp= 4 | MILP= 44 | ALoss=-0.0961 CLoss=1562.4337 | LR=1.0e-04 | Time=132s
Ep    8/1500 | Reward= -379.23 | EpBest=  2980.4万 | GlobalBest=  2980.4万 | LPSP= 0.07% | LREG= 2.26% | Imp=12 | MILP= 50 | ALoss=-0.1032 CLoss=8869.1929 | LR=1.0e-04 | Time=156s
Ep    9/1500 | Reward=  -72.18 | EpBest=  2828.6万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 3.12% | Imp= 4 | MILP= 21 | ALoss=-0.0938 CLoss=509.1559 | LR=1.0e-04 | Time=168s
Ep   10/1500 | Reward= -129.14 | EpBest=  2968.3万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 0.61% | Imp= 9 | MILP= 34 | ALoss=-0.0938 CLoss=1195.8552 | LR=1.0e-04 | Time=186s
Ep   11/1500 | Reward= -236.04 | EpBest=  2893.0万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 2.79% | Imp=11 | MILP= 50 | ALoss=-0.1023 CLoss=2519.3143 | LR=1.0e-04 | Time=212s
Ep   12/1500 | Reward=-2033.03 | EpBest=  3433.0万 | GlobalBest=  2828.6万 | LPSP= 0.16% | LREG= 2.49% | Imp=18 | MILP= 50 | ALoss=-0.1139 CLoss=132005.7242 | LR=1.0e-04 | Time=245s
Ep   13/1500 | Reward= -108.74 | EpBest=  3254.3万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 9.84% | Imp= 3 | MILP= 30 | ALoss=-0.1120 CLoss=643.1943 | LR=1.0e-04 | Time=259s
